ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,59,78,,,,,,,2021,1
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1652819,,,,,,,,2020,4
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,4701,,,,,,,2018,7
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,93409,119921,304424,,,19539,,,2021,1
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,275,11846,2564,,,690,,,2018,12
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,1592,,,,,,,2020,1
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GENERAL,,9255,,,,,,,2019,12
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GENERAL,,136,,,,,,,2020,7
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,1608,,,2019,9
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,14034,,,,277,,,2020,5
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,5478,,,2021,4
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1420376,,,,,,,,2020,11
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1907601,,,,,,,,2020,3
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,26565,,,,,,,2018,5
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1985836,,,,,,,,2019,6
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1693794,,,,,,,,2020,8
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,10763,,,,208,,,2019,3
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,104504,,,,,,,2018,2
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GENERAL,,,,,3319,,,,2018,9
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,6599,8948,,,,,,,2019,4
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,61529,,,,,,,2021,5
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,88403,,,,,,,2018,6
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,1032,,,,,,,2021,5
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,117059,,,,2019,3
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,1073715,,,,,,,,2020,1
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,13548,10821,,,,,,,2018,2
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1613702,,,,,,,,2019,9
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1290307,,,,,,,,2021,6
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1910758,,,,,,,,2020,2
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1591998,,,,,,,,2020,6
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,28006,5500,,,,,,,2020,6
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,5500,55799,,,,,,,2020,8
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,,321679,,,,,,,2020,2
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,166691,224022,563865,,,,,,2018,12
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1590536,,,,,,,,2020,12
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,GRANEL SOLIDO DIFER. DE CARBON,,71987,,,,,,,2018,11
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,23115,,,,,,,2019,4
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GRANEL SOLIDO DIFER. DE CARBON,5424,,,,,786,,,2020,11
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1738839,,,,,,,,2018,5
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,848180,,,,,,,,2021,5
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1982719,,,,,,,,2019,3
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,88768,132227,387006,,,,,,2019,10
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,205797,,,,,,,2020,3
