ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL SOLIDO DIFER. DE CARBON,,,,,,6000,,,2018,2
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,15481,,,,,,,2020,4
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,,,,,28862,,,2021,5
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,127399,,,,2021,6
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,9400,112387,16311,,,2463,,,2021,5
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,35602,,,,,,,,2019,2
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,638882,,,,,,,,2019,2
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,,4780,,,,,,,2019,10
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,13902,22833,387,,,25092,,,2021,3
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,67116,48714,,,,,,,2020,4
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,23981,,,,,,,2018,11
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,3583,14148,843,,,95,,,2019,8
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,53027,,,,2020,4
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,263,8267,,,,,,,2020,6
CARTAGENA,ATUNAMAR LIMITADA,GENERAL,,,,,,1861,,,2020,5
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GENERAL,13500,,,,,,,,2018,11
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,2994,,,,,,,2020,6
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,65786,,,,2019,12
BUENAVENTURA,GRUPO PORTUARIO S.A,CARBON AL GRANEL,43260,,,,,,,,2020,8
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,144,,,,3420,,,2019,5
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,76788,50600,,,,,,,2019,10
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,7480,12120,,,,,,,2018,7
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,,1,340,,,,,,2021,4
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,18375,,,,,,,,2019,5
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,66847,,,,2019,8
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,2250,1093,,,,,,,2020,5
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,48471,59455,84,190,,239,,682,2020,8
GUAJIRA,CERREJON ZONA NORTE S.A.,GENERAL,,2229,,,,,,,2018,1
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,66257,,,,,,,2018,10
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,78780,,,,,,,2020,12
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,158,34415,12227,,,,,,2021,4
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,6,4219,57,,,,,,2021,3
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,4432,,,,,,,2019,2
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL SOLIDO DIFER. DE CARBON,,,,,,6000,,,2018,6
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL LIQUIDO,,,,,,3384,,,2021,2
GUAJIRA,CERREJON ZONA NORTE S.A.,CONTENEDORES,34,442,,,,,,,2019,7
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,6414,,,,2564,,,2021,6
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,7166,7744,,,,,,,2018,10
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL LIQUIDO,,2094,,,,,,,2018,3
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL LIQUIDO,,1896,,,,,,,2019,10
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,45833,,,,,,,2021,3
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,88796,,,,2018,3
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,16700,,,,,,,,2020,8
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,72842,,,,2020,8
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,43314,62329,,0,,,,0,2018,4
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,2273310,,,,,,,,2019,12
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,86951,54066,,,,,,,2020,12
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,56318,21755,25,,,23383,,,2020,2
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,GRANEL SOLIDO DIFER. DE CARBON,,49399,,,,,,,2020,3
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL LIQUIDO,10044,,,,,,,,2019,5
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,1755,,,2019,11
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,7146,,,,,,,2018,11
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,,11005,,,,,,,2019,9
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,59831,,,,,,,2019,4
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,2727,,,,,,,2019,6
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,16474,,,,,,,2018,6
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,3277,,,2020,7
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,7236,,,2019,8
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,,,515,,,654,,,2019,12
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,,7,208,,,1,,,2021,1
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,217657,,,,,,,,2019,11
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,2295608,,,,,,,,2020,7
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,78419,48338,,,,,,,2019,9
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,29088,,,,,,,2021,6
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,151998,,,,,,,2018,1
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,CONTENEDORES,,3579,,212,,7813,,,2019,10
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,4977,4272,,,,,,,2020,4
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,95187,,,,,,,2018,9
CARTAGENA,SOCIEDAD PORTUARIA EL CAYAO S.A. E.S.P.,GRANEL LIQUIDO,,17612,,,,,,,2021,4
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,137,,,,,,,2021,1
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,133086,,,,,,,,2019,11
BUENAVENTURA,GRUPO PORTUARIO S.A,CARBON AL GRANEL,70365,,,,,,,,2018,7
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,142179,,,,,,,2019,5
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,CONTENEDORES,,,,,3922,,,,2021,6
TURBO,PROMOTORA BANANERA S.A,GENERAL,1461,,,,,,,,2021,2
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,79634,153215,24380,,,,,,2020,10
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,91490,,,,2018,9
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,6000,29850,,,,,,,2018,10
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,52741,182751,,,,16584,,,2020,2
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,4051,5471,,,,,,,2020,3
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,,6561,,,,,,,2020,10
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,22838,,,,,,,2020,12
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,78550,,,,,,,,2019,1
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,5298,,,,,,,2018,1
TURBO,PROMOTORA BANANERA S.A,GENERAL,623,,,,,,,,2021,6
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,14501,,,,,,,,2020,11
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,45108,,,,,,,,2020,7
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,43,8481,393,,,3169,,,2018,10
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,0,,,,2020,12
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,7867,1220,,,,,,,2018,4
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,73087,,,,,,,2019,3
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,14760,,,,,,,2021,6
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,,2768,1,,,,,,2021,2
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,2985,9683,,,,,,,2021,1
BARRANQUILLA,PORTMAGDALENA S.A.,GRANEL LIQUIDO,60098,42874,,,18021,31783,,,2019,6
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,CARBON AL GRANEL,22000,,,,,,,,2018,5
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,196558,,,,850,,,2019,9
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,82777,207999,,,,9245,,,2020,12
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,6548,106,,,,,,,2020,10
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,,762,443,,,,,,2021,3
CARTAGENA,ATUNAMAR LIMITADA,GENERAL,,,,,,2358,,,2021,6
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,85747,31312,,,,,,,2019,8
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,92,39259,,,,1503,,,2018,5
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,4860,,,2020,11
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,1240,,,,,,,2021,1
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,24482,12583,,,,,,,2019,4
GUAJIRA,CERREJON ZONA NORTE S.A.,CONTENEDORES,10,332,,,,,,,2019,11
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,180,11928,,,,1648,,,2018,9
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL LIQUIDO,,14815,,,,,,,2019,4
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,689,,,2019,8
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,49103,67163,,241,,751,,391,2021,6
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,48748,,,,,,,,2020,12
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,2400,5500,,,,,,,2020,5
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,39646,,,,,,,,2019,7
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,7302,,,2019,12
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,1528,14044,474,,,,,,2020,4
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,65473,,,,,,,2020,2
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,230774,30904,,,,,,,2020,11
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,,87124,,,,,,,2018,7
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,462755,91138,,,,30634,,,2018,12
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,28,,,,,,,2018,12
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,75169,,,,2018,8
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GENERAL,,,,,2025,,,,2019,2
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,17533,,,,,,,,2019,1
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,29,,160,,,2110,,,2018,4
CARTAGENA,COREMAR SHOREBASE SA,GENERAL,,2362,,,,237,,,2019,12
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,23,267,,,,,,,2021,2
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,7285,,,2018,9
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,186,63801,,,,,,,2020,3
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,35184,,,,,,,2018,10
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,140,,,,,,,2019,8
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,16,14995,,,,938,,,2019,6
BARRANQUILLA,ATUNAMAR LIMITADA,GENERAL,,,,,,4931,,,2018,4
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL LIQUIDO,1501,,,,,3075,,,2020,5
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,4857,,,2018,6
TURBO,PROMOTORA BANANERA S.A,GENERAL,101,,,,,,,,2019,12
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,,,366,,,846,,,2019,11
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL LIQUIDO,6608,,,,,1180,,,2019,3
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,7245,,,,,,203,2019,12
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,1210,,,,,,,2020,7
CARTAGENA,ATUNAMAR LIMITADA,GENERAL,,,,,,901,,,2019,5
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,,23,456,,,,,,2021,5
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,75,,30,,5473,,,2018,4
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,2278443,,,,,,,,2020,9
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,CONTENEDORES,122636,164728,1168956,,,,,,2018,8
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,5,184,,,,,,,2019,12
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,93892,134262,369184,,,32289,,,2020,10
BARRANQUILLA,PORTMAGDALENA S.A.,GRANEL LIQUIDO,39702,38169,,,3548,,,,2019,9
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,40108,274973,102001,,,,,,2021,5
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,57,36968,,,,572,,,2018,9
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,167841,,,,,,,2018,6
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,2895,24704,3,,,21018,,,2021,6
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,23781,,,,,,,2018,12
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,42531,79908,167,486,,357,,270,2019,11
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,707,,,2019,11
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,7359,,,2018,11
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,88206,584839,2049,,,,,,2019,7
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,2806568,,,,,,,,2018,12
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,14479,,,,,,,2019,9
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,10147,,,,,,,,2020,6
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,55069,118778,8171,,,,,,2020,1
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,132096,,,,,,,,2019,1
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL LIQUIDO,12913,,,,,42360,,,2020,2
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,61843,,,,2020,6
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,77868,,,,,,,2019,11
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,14107,,,,,,,2020,3
CARTAGENA,SOCIEDAD PORTUARIA EL CAYAO S.A. E.S.P.,GRANEL LIQUIDO,,18984,,,,,,,2020,4
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,4166,6109,,,,,,,2018,3
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,3122,19618,27,,,23126,,,2021,2
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,4246,,,,,,,,2020,2
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,777,,,2020,11
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,2001,,,,,1896,,,2020,10
CARTAGENA,SOCIEDAD PORTUARIA TERMINAL DE IFOS S.A.,GRANEL LIQUIDO,7311,,,,,,,,2018,1
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,245780,,,,,,,2020,11
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,69153,113314,17817,,,,,,2020,7
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,91370,,,,,,,,2018,11
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GENERAL,16851,,,6000,,,,,2018,5
CARTAGENA,ATUNAMAR LIMITADA,GENERAL,,,,,,1862,,,2019,1
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL LIQUIDO,7642,,,,,2750,,,2020,9
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GRANEL SOLIDO DIFER. DE CARBON,6032,,,,,,,,2018,2
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,,102,1,,,,,,2020,5
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,81,,,,4670,,,2019,4
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,113,,,,2018,7
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,,,,,,1593,,,2018,6
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,CONTENEDORES,194773,255749,1377061,,,64036,,,2021,3
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,CONTENEDORES,97019,168733,1201640,,,,,,2019,9
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,117688,,,,,,,2020,4
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,,,,,,1966,,,2018,1
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,5671,,,2021,2
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,15,,,,,,,2018,2
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,,957699,,,,,,,2018,8
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,17708,,,,,754,,,2021,4
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,31887,104363,2062,,,280,,,2021,6
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,156528,,,,,,,2020,8
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,23925,,,,,,,2018,2
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,40762,,,,,,,2019,11
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,74710,,,,,,,2018,12
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,113842,,,,2018,4
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,34406,,,,,,,,2018,5
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,147984,107986,23982,,,,,,2020,9
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,1974,10556,,,,,,,2018,8
CARTAGENA,COREMAR SHOREBASE SA,GRANEL LIQUIDO,,,,,35,,,,2020,12
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,6,131,2,,,,,,2019,11
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,189943,,,,,,,2021,3
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,73206,99984,452218,,,14569,,,2020,5
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,129076,,,,,,,,2018,1
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,132,,,,3835,,,2018,11
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GRANEL SOLIDO DIFER. DE CARBON,,8635,,,,2608,,,2021,6
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GENERAL,,,,,,7000,,,2021,1
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,79,392,,,,,,,2020,2
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,126331,126075,29171,,,,,,2020,7
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,2615,,,,,,,2019,10
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,323,,,,,,,2020,3
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,127284,,,,,,,2018,2
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,32946,99785,69000,,,,,,2018,11
